"authors","publication_year","defense_date","course","thesis_type","pt_abstract","en_abstract","main_advisor","committee","auth_keywords","publisher","cnpq_area","document_url","num_views","title","second_advisor","campus"
"('Diogo Emmanuel Santos de Santana',)","2024","2024-11-12","Sistemas de Informação","Trabalho de Conclusão de Curso","O desenvolvimento de sistemas de gerenciamento de estoque é essencial para melhorar a organização e a eficiência dos processos logísticos nas instituições públicas. Este trabalho propõe um sistema de gerenciamento de estoque para o Departamento de Tecnologia da Informação da Prefeitura de Penedo, Alagoas. O objetivo foi criar uma ferramenta digital capaz de otimizar o controle de materiais e produtos utilizados na administração pública, melhorando o processo de gestão e evitando desperdícios. A metodologia de pesquisa adotada foi o Design Thinking, que permitiu explorar as necessidades dos usuários e desenvolver um sistema mais alinhado com suas demandas. A avaliação do sistema, realizada por meio de um questionário aplicado aos usuários, indicou uma boa aceitação do sistema, destacando a facilidade de uso, a eficiência e a clareza das funcionalidades. No entanto, algumas melhorias foram sugeridas, como ajustes no desempenho e no layout da interface. Os resultados mostraram que o sistema tem grande potencial para melhorar o gerenciamento de estoque, mas ainda há espaço para aprimoramentos, especialmente na velocidade de resposta e na personalização da interface.","The development of inventory management systems is essential for enhancing organization and logistical efficiency in public institutions. This study proposes an inventory management system for the Department of Information Technology of Penedo City Hall, Alagoas. The goal was to create a digital tool to optimize the control of materials and products used in public administration, improving management processes and minimizing waste. The research methodology adopted was Design Thinking, which enabled an in-depth exploration of user needs and the development of a system tailored to their demands. The system evaluation, conducted through a user-applied questionnaire, revealed positive feedback, highlighting ease of use, efficiency, and clarity of functionalities. However, some improvements were suggested, such as performance adjustments and interface layout refinements. The results demonstrated the system's significant potential to enhance inventory management, although there is room for improvement, particularly in response speed and interface customization.","('Gustavo Henrique Ferreira de Miranda Oliveira',)","('Ivon Wilson da Silva Junior', 'Liliane dos Santos Mota da Fonseca')","('Tecnologia da informação', 'Gestão de estoques', 'Administração pública', 'Design thinking', 'Sistema de gerenciamento')","Universidade Federal de Alagoas","Ciência da Computação","https://ud10.arapiraca.ufal.br/web/content?model=ud.biblioteca.anexo&field=arquivo&id=11567&download=true&filename_field=name","189","Implementação de um sistema integrado de gestão de estoque para o departamento de TI da prefeitura de Penedo/AL.","","U.E. Penedo"
"('Ana Beatriz Pereira da Silva',)","2024","2024-09-27","Sistemas de Informação","Trabalho de Conclusão de Curso","O objetivo deste estudo é investigar como a Inteligência Artificial (IA) pode potencializar a aplicação da gamificação no ensino, em resposta ao crescente desafio de engajar os alunos em um ambiente educacional frequentemente marcado por desinteresse e dificuldade em atender às suas necessidades individuais. A gamificação, ao utilizar elementos de jogos para tornar o aprendizado mais atraente, pode ser limitada pela falta de personalização e feedback em tempo real. Assim, a pesquisa utilizará uma revisão sistemática da literatura para explorar como a IA pode ser integrada a elementos de gamificação, como recompensas e interações lúdicas, adaptando o processo educacional às especificidades de cada aluno e promovendo um aprendizado mais eficaz. A combinação de IA e gamificação promete criar um ambiente de aprendizado dinâmico e envolvente, oferecendo feedback imediato e ajustando a dificuldade das atividades com base no desempenho dos estudantes. Além disso, a pesquisa pretende identificar os impactos dessa integração na participação e no progresso dos alunos, abordando questões como motivação, retenção de conhecimento e desenvolvimento de habilidades, contribuindo assim para a discussão sobre o futuro da educação e o potencial das tecnologias emergentes em enriquecer a experiência de aprendizagem.","The objective of this study is to investigate how Artificial Intelligence (AI) can enhance the application of gamification in teaching, in response to the growing challenge of engaging students in an educational environment often marked by disinterest and difficulty in meeting their individual needs. Gamification, when using game elements to make learning more engaging, can be limited by the lack of personalization and real-time feedback. Thus, the research will use a systematic literature review to explore how AI can be integrated with gamification elements, such as rewards and playful interactions, adapting the educational process to the specificities of each student and promoting more effective learning. The combination of AI and gamification promises to create a dynamic and engaging learning environment, offering immediate feedback and adjusting the difficulty of activities based on student performance. Furthermore, the research aims to identify the impacts of this integration on student participation and progress, addressing issues such as motivation, knowledge retention and skills development, thus contributing to the discussion about the future of education and the potential of emerging technologies to enrich the learning experience.","('Gustavo Henrique Ferreira de Miranda Oliveira',)","('Jário José dos Santos Júnior', 'Valber Gregory Barbosa Costa Bezerra Santos')","('Inteligência artificial', 'Gamificação', 'Educação', 'Sistemas da informação')","Universidade Federal de Alagoas","Ciência da Computação","https://ud10.arapiraca.ufal.br/web/content?model=ud.biblioteca.anexo&field=arquivo&id=11797&download=true&filename_field=name","156","O impacto da utilização da inteligência artificial na educação através da gamificação: uma revisão da literatura.","","U.E. Penedo"
"('Manoel Ocilon Santos de Melo',)","2024","2024-11-28","Sistemas de Informação","Trabalho de Conclusão de Curso","O presente trabalho busca compreender o impacto e a efetividade dos Sistemas Tutores Inteligentes (STIs) no aprendizado dos alunos do ensino fundamental, por meio de uma revisão integrativa da literatura. Os STIs empregam inteligência artificial para ajustar o processo de ensino, proporcionando experiências personalizadas e interativas. O estudo investiga a através de uma revisão bibliográfica as técnicas empregadas em pesquisas anteriores e os resultados alcançados com a aplicação dos STIs em diversas matérias e ambientes escolares, ressaltando a função desses sistemas em fomentar o envolvimento e oferecer apoio personalizado aos alunos. Também são investigados os principais padrões e tendências na aplicação dos STIs no ensino fundamental. A avaliação destaca a capacidade de sistemas como o PAT2Math e MAZK em personalizar o aprendizado e nas táticas para melhorar o rendimento escolar dos estudantes, auxiliando na construção de uma educação mais ajustada às demandas individuais.","This study seeks to understand the impact and effectiveness of Intelligent Tutoring Systems (STIs) on the learning of elementary school students through an integrative literature review. STIs employ artificial intelligence to adjust the teaching process, offering personalized and interactive experiences. The study investigates, through a literature review, the techniques used in previous research and the results achieved with the application of STIs in various subjects and school environments, highlighting the role of these systems in fostering engagement and offering personalized support to students. The main patterns and trends in the application of STIs in elementary school are also investigated. The evaluation highlights the ability of systems such as PAT2Math and MAZK to personalize learning and tactics to improve students' academic performance, helping to build an education more adjusted to individual demands.","('Jário José dos Santos Júnior',)","('Gustavo Henrique Ferreira de Miranda Oliveira', 'Valber Gregory Barbosa Costa Bezerra Santos')","('Tecnologia educacional', 'Ensino fundamental', 'Sistemas tutores inteligentes')","Universidade Federal de Alagoas","Ciência da Computação","","75","Potencializando o aprendizado: o impacto dos sistemas tutores inteligentes no aprendizado dos alunos do ensino fundamental.","","U.E. Penedo"
"('Jeziel dos Santos Lima',)","2024","2024-03-20","Sistemas de Informação","Trabalho de Conclusão de Curso","O cenário atual os dados são extremamente valiosos, a capacidade de lidar eficazmente com eles é crucial tanto para pesquisadores quanto para empresas. No entanto, a manipulação de dados pode se tornar uma tarefa complexa, especialmente ao lidar com volumes de dados variados e ao inseri-los em bases de dados (DB), como o PostgreSQL. A inserção de dados em um banco de dados pode ser uma tarefa que demanda tempo e recursos significativos. A necessidade de automatizar esse processo surge da complexidade e da dificuldade em lidar manualmente. A inserção manual de dados em um banco de dados, pode ser propensa a erros e ineficiências. Isso pode resultar em atrasos e dificuldades na utilização eficaz dos dados para análises e tomadas de decisão. Este trabalho tem como objetivo apresentar um método eficiente de inserção de dados em um banco de dados PostgreSQL, utilizando as bibliotecas da linguagem de programação Python. A proposta é desenvolver soluções via scripts que simplifiquem e otimizem o processo de inserção de dados. Utilizando a metodologia qualitativa de estudo de caso, foram analisadas as melhores bibliotecas e ferramentas disponíveis para automação da inserção de dados. Com base nessa pesquisa, foram desenvolvidas soluções utilizando as bibliotecas Pandas e SQLAlchemy. Um estudo comparativo entre inserção manual e automatizada demonstrou os benefícios da automação, destacando sua indispensabilidade para uma inserção eficiente de dados. Este estudo ressalta a importância de adotar métodos automatizados para a gestão de dados, fornecendo uma base para futuras pesquisas e práticas relacionadas à manipulação de dados.","In the current scenario, data is extremely valuable, and the ability to handle it effectively is crucial for both researchers and companies. However, data manipulation can become a complex task, especially when dealing with various volumes of data and inserting them into databases (DB), such as PostgreSQL. Data insertion into a database can be a task that demands significant time and resources. The need to automate this process arises from the complexity and difficulty of manually handling large volumes of data. Manual data insertion into a database can be prone to errors and inefficiencies. This can result in delays and difficulties in effectively using the data for analysis and decision-making. This work aims to present an efficient method of data insertion into a PostgreSQL database using Python programming language libraries. The proposal is to develop solutions via scripts that simplify and optimize the data insertion process. Using the qualitative methodology of case study, the best libraries and tools available for automating data insertion were analyzed. Based on this research, solutions were developed using the Pandas and SQLAlchemy libraries. A comparative study between manual and automated insertion demonstrated the benefits of automation, highlighting its indispensability for efficient data insertion. This study emphasizes the importance of adopting automated methods for data management, providing a foundation for future research and practices related to data manipulation.","('Davy de Medeiros Baía',)","('André Magno Costa de Araújo', 'Thyago Tenório Martins de Oliveira')","('Automação', 'Banco de dados', 'Base de dados')","Universidade Federal de Alagoas","Ciência da Computação","https://ud10.arapiraca.ufal.br/web/content?model=ud.biblioteca.anexo&field=arquivo&id=11928&download=true&filename_field=name","217","Simplificando a inserção de dados em um banco PostgreSQL com o uso do Python: trabalhando na eficiência e gestão de uma base de dados automatizando a população em um banco de dados.","","U.E. Penedo"
"('Bruno Henrique Rocha dos Santos',)","2024","2024-10-25","Sistemas de Informação","Trabalho de Conclusão de Curso","Algumas academias de musculação de bairros e cidades pequenas enfrentam dificuldades no controle de aluno e pagamentos de mensalidades. Visando solucionar essa problemática, surgiu a necessidade da criação um sistema simples e acessível para otimizar esses processos. Com esse objetivo, foi desenvolvido o FitLife, um aplicativo mobile voltado para auxiliar a gestão de academias de pequeno porte sem a necessidade do uso de um computador de mesa. O FitLife conta com funcionalidades de cadastro e visualização de alunos, controle de pagamentos pendentes e confirmados, além de um dashboard com alguns dados sobre o número de alunos e financeiro. O aplicativo foi desenvolvido utilizando tecnologias como o React Native no front-end, Node.js e MySQL no back-end. Para a produção do APK e realizações de testes, o banco de dados foi alterado para o SQLite. Diante disso, o FitLife busca facilitar o gerenciamento de pequenas academias, oferecendo uma interface intuitiva e de fácil acesso.","Some neighborhood and small-town gyms face challenges in managing student records and monthly payments. To address this issue, there was a need to create a simple and accessible system to optimize these processes. With this objective in mind, FitLife was developeda mobile application aimed at helping the management of small gyms without the need for a desktop computer. FitLife includes features such as student registration and visualization, control of pending and confirmed payments, and a dashboard with data on the number of students and financial information. The application was developed using technologies like React Native for the front-end, Node.js, and MySQL for the back-end. For the production of the APK and testing, the database was changed to SQLite. Therefore, FitLife aims to facilitate the management of small gyms by offering an intuitive and easily accessible interface.","('Gustavo Henrique Ferreira de Miranda Oliveira',)","('Dalgoberto Miquilino Pinho Júnior', 'Thyago Tenório Martins de Oliveira')","('Usabilidade', 'Aplicativo móvel', 'Sistema de gestão', 'Controle de pagamentos')","Universidade Federal de Alagoas","Ciência da Computação","https://ud10.arapiraca.ufal.br/web/content?model=ud.biblioteca.anexo&field=arquivo&id=11796&download=true&filename_field=name","130","O Fitlife, uma ferramenta mobile de gerenciamento de alunos e controle de pagamentos em uma academia","","U.E. Penedo"
"('José Lucas Bispo dos Santos',)","2024","2024-10-24","Sistemas de Informação","Trabalho de Conclusão de Curso","O COVID-19 surgiu como uma variação altamente contagiosa do coronavírus e desencadeou uma pandemia de alcance global, estratégias de previsão baseadas em séries temporais foram desenvolvidas para estimar disseminação viral e orientar decisões governamentais. Ainda assim, as cidades no interior de Alagoas enfrentam dificuldades em acessar essas previsões, o que acaba tornando complexo o planejamento adequado dos sistemas de saúde. Esta pesquisa propõe uma estratégia utilizando um Ensemble de modelos de aprendizado de máquinas para melhorar as projeções de casos em áreas negligenciadas. O método utilizado consistiu na aplicação de estratégias para combinar previsões como média, mediana e moda com o intuito de melhorar a acurácia do modelo adotado. Os resultados apontam que a abordagem em conjunto com a técnica da moda superou individualmente os modelos em termos precisão indicando potencial para futuras aplicações em cenários com poucos dados. Pode-se inferir que a combinação dos modelos se destaca como uma ferramenta efetiva na predição do COVID-19 e contribui para uma gestão mais eficiente da saúde pública em regiões menos populosas.","COVID-19 emerged as a highly contagious variation of the coronavirus, triggering a pandemic of global reach. Time series forecasting strategies were developed to estimate viral spread and guide government decisions. However, cities in the interior of Alagoas face difficulties accessing these forecasts, making adequate healthcare system planning complex. This research proposes a strategy using an ensemble of machine learning models to improve case projections in underserved areas. The method consisted of applying combination strategies such as mean, median, and mode to enhance the accuracy of the adopted model. The results indicate that the ensemble approach, particularly with the mode technique, outperformed individual models in terms of accuracy, highlighting its potential for future applications in data-scarce scenarios. It can be inferred that model combination stands out as an effective tool for COVID-19 prediction and contributes to more efficient public health management in less populated regions.","('Gustavo Henrique Ferreira de Miranda Oliveira',)","('Jário José dos Santos Júnior', 'Marianne Batista Diniz da Silva')","('Tecnologia da informação', 'Aprendizado de máquina', 'COVID-19 (Doença)', 'Ensemble de Models')","Universidade Federal de Alagoas","Ciência da Computação","https://ud10.arapiraca.ufal.br/web/content?model=ud.biblioteca.anexo&field=arquivo&id=11663&download=true&filename_field=name","176","Modelos de aprendizado de máquina para a previsão de COVID-19: uma abordagem ensemble aplicada ao estado de Alagoas.","","U.E. Penedo"
"('Raffael Santos Araújo',)","2024","2024-11-29","Sistemas de Informação","Trabalho de Conclusão de Curso","O presente estudo, configurado como uma revisão de literatura, busca desvelar as profundas transformações que o campo educacional experimentou sob o impacto da pandemia de COVID-19, com ênfase no ensino remoto e nas tecnologias educacionais avançadas. A investigação explora de que maneira tecnologias contemporâneas – incluindo inteligência artificial, realidade aumentada e virtual, e Internet das Coisas (IoT) – contribuíram significativamente para a continuidade do processo de ensino aprendizagem, em um período marcado pela necessidade de distanciamento social compulsório, promovendo, assim, a integração de abordagens próprias da denominada Educação 4.0. O objetivo primordial deste estudo é examinar como a súbita transição para o ensino remoto, imposta pelas vicissitudes pandêmicas, catalisou a adoção de novas tecnologias e metodologias pedagógicas, reconfigurando a dinâmica educacional e acelerando modificações substanciais nas práticas didáticas. Entre os objetivos específicos, destaca-se: (1) a análise das desigualdades no acesso à educação nos períodos pré, durante e pós-pandêmico, com especial atenção às assimetrias digitais. Ademais, o estudo reflete sobre os legados perenes das inovações tecnológicas e metodológicas introduzidas durante o período pandêmico, discorrendo sobre a incorporação definitiva de práticas híbridas e o papel das tecnologias como elementos estruturantes do ensino futuro. Ao realizar uma análise crítica e aprofundada de artigos acadêmicos e investigações científicas, este estudo provê uma compreensão abrangente dos desafios, oportunidades e implicações que o contexto de transformação acelerada engendrou para o panorama educacional contemporâneo e prospectivo.","This study, configured as a literature review, seeks to reveal the profound transformations that the educational field has experienced under the impact of the COVID-19 pandemic, with an emphasis on the emergency adaptation to remote teaching and the preponderant role of advanced educational technologies. The research explores how contemporary technologies – including artificial intelligence, augmented and virtual reality, and the Internet of Things (IoT) – have contributed significantly to the continuity of the teaching-learning process, in a period marked by the need for compulsory social distancing, thus promoting the integration of approaches specific to the so-called Education 4.0. The primary objective of this study is to examine how the sudden transition to remote teaching, imposed by the vicissitudes of the pandemic, catalyzed the adoption of new technologies and pedagogical methodologies, reconfiguring educational dynamics and accelerating substantial changes in teaching practices. The specific objectives include: (1) analyzing inequalities in access to education in the pre-, during, and post-pandemic periods, with special attention to digital asymmetries; (2) scrutinizing curricular and methodological adaptations implemented by educational institutions, aiming to maintain academic continuity through technological devices; and (3) assessing the impact of emerging technologies on the personalization of learning and the creation of more interactive, immersive, and responsive educational experiences to students' needs. Furthermore, the study reflects on the lasting legacies of technological and methodological innovations introduced during the pandemic period, discussing the definitive incorporation of hybrid practices and the role of technologies as structuring elements of future teaching. By carrying out a critical and in-depth analysis of academic articles and scientific research, this study provides a comprehensive understanding of the challenges, opportunities, and implications that the context of accelerated transformation has engendered for the contemporary and prospective educational landscape.","('Jário José dos Santos Júnior',)","('Gustavo Henrique Ferreira de Miranda Oliveira', 'Valber Gregory Barbosa Costa Bezerra Santos')","('Metodologia', 'Tecnologia', 'Ensino remoto', 'COVID-19 (Doença)', 'Educação')","Universidade Federal de Alagoas","Ciência da Computação","https://ud10.arapiraca.ufal.br/web/content?model=ud.biblioteca.anexo&field=arquivo&id=12311&download=true&filename_field=name","123","O impacto da tecnologia no processo de ensino durante a pandemia e sua adaptação como ferramenta que potencializa o aprendizado.","","U.E. Penedo"
"('José Henrique dos Santos Alcides',)","2024","2024-07-16","Sistemas de Informação","Trabalho de Conclusão de Curso","A produção de Cana-de-Açúcar, sendo um componente crucial da economia agrícola brasileira, está experimentando transformações significativas impulsionadas pelo avanço tecnológico. A região de Alagoas é reconhecida como um polo produtor de cana-de açúcar e proporciona um contexto relevante para examinar os desafios e oportunidades enfrentados pelas usinas ao incorporar tais tecnologias inovadoras. Nesse sentido, esse presente estudo visa investigar o impacto da utilização de tecnologias emergentes como automação, inteligência artificial e sensoriamento remoto na agricultura da cana-de açúcar em alagoas, através de um estudo de caso abrangente em duas usinas pertencentes ao Grupo Carlos Lyra. O objetivo é analisar as mudanças provocadas por essas tecnologias no cultivo de cana-de-açúcar na região, o que permitirá compreender as implicações dessas mudanças na produção, eficiência e sustentabilidade do cultivo. Ao explorar os benefícios e desafios associados à adoção de automação, inteligência artificial e sensoriamento remoto, este estudo visa fornecer insights cruciais para orientar estratégias futuras no setor sucroenergético. A análise aprofundada das práticas agrícolas, otimização de processos e redução de impactos ambientais contribuirá não apenas para o avanço do conhecimento científico, mas também para aprimorar a competitividade e a sustentabilidade do agronegócio sucroenergético em Alagoas. Este trabalho busca, assim, lançar luz sobre a interseção entre tradição agrícola e inovação tecnológica, delineando um panorama valioso para o futuro do setor na região. Os possíveis resultados encontrados incluem aumentos na eficiência operacional, redução de custos, melhorias na qualidade da produção e avanços na gestão agrícola.","The production of sugarcane, a crucial component of Brazil's agricultural economy, is undergoing significant transformations driven by technological advancements. The state of Alagoas is recognized as a major sugarcane producer, providing a relevant context to examine the challenges and opportunities faced by mills as they incorporate these innovative technologies. This study aims to investigate the impact of emerging technologies such as automation, artificial intelligence, and remote sensing on sugarcane agriculture in Alagoas through a comprehensive case study of two mills belonging to Grupo Carlos Lyra. The goal is to analyze the changes induced by these technologies in sugarcane cultivation in the region, thereby understanding the implications of these changes on production, efficiency, and sustainability. By exploring the benefits and challenges associated with the adoption of automation, artificial intelligence, and remote sensing, this study seeks to provide crucial insights to guide future strategies in the sugar energy sector. The in-depth analysis of agricultural practices, process optimization, and environmental impact reduction will contribute not only to advancing scientific knowledge but also to enhancing the competitiveness and sustainability of the sugar energy agribusiness in Alagoas. This work thus aims to shed light on the intersection between agricultural tradition and technological innovation, outlining a valuable perspective for the future of the sector in the region. Possible findings include increases in operational efficiency, cost reduction, improvements in production quality, and advancements in agricultural management.","('Thyago Tenório Martins de Oliveira',)","('Gustavo Henrique Ferreira de Miranda Oliveira', 'Jário José dos Santos Júnior')","('Inteligência artificial', 'Automação', 'Alagoas', 'Tecnologia', 'Cana-de-açúcar', 'Sensoriamento remoto')","Universidade Federal de Alagoas","Ciência da Computação","https://ud10.arapiraca.ufal.br/web/content?model=ud.biblioteca.anexo&field=arquivo&id=11566&download=true&filename_field=name","268","Impacto da utilização de automação, inteligência artificial e sensoriamento remoto na agricultura da cana-de-açúcar em Alagoas: um estudo de caso em duas usinas do Grupo Carlos Lyra.","","U.E. Penedo"
"('Wesley Andrade Freitas',)","2024","2024-12-05","Sistemas de Informação","Trabalho de Conclusão de Curso","Há preocupação crescente das empresas com o tema da sustentabilidade, motivada por fatores relevantes como a busca por vantagens competitivas, as regulamentações ambientais e a pressão de stakeholders. A presente pesquisa tem como objetivo analisar o conceito de TI Verde e sua importância para empresas e organizações no contexto da sustentabilidade empresarial e ambiental através de revisão bibliográfica exploratória observando a evolução histórica do conceito de sustentabilidade, desde o Relatório Brundtland até a incorporação do Triple Bottom Line nas práticas empresariais. A TI, neste contexto, apresenta ferramentas e soluções que otimizam os processos, diminuindo o impacto ambiental das organizações e empresas por meio da nuvem, da virtualização, do teletrabalho, da reciclagem de equipamentos e da otimização energética. O estudo conclui que os benefícios da TI Verde incluem a melhoria da imagem da empresa, a redução de custos operacionais, a conformidade com regulamentações ambientais e a contribuição para os Objetivos de Desenvolvimento Sustentável (ODS) no Brasil através da gestão do E-lixo, do cloud computing e da inteligência artificial, principalmente em países emergentes.","There is growing concern among companies with the topic of sustainability, motivated by relevant factors such as the search for competitive advantages, environmental regulations and pressure from stakeholders. This research aims to analyze the concept of Green IT and its importance for companies and organizations in the context of business and environmental sustainability through an exploratory bibliographic review observing the historical evolution of the concept of sustainability, from the Brundtland Report to the incorporation of the Triple Bottom Line in business practices. IT, in this context, presents tools and solutions that optimize processes, reducing the environmental impact of organizations and companies through the cloud, virtualization, teleworking, equipment recycling and energy optimization. The study concludes that the benefits of Green IT include improving the company's image, reducing operational costs, complying with environmental regulations and contributing to the Sustainable Development Goals (SDGs) in Brazil through the management of E-waste, cloud computing and artificial intelligence, especially in emerging countries.","('Valber Gregory Barbosa Costa Bezerra Santos',)","('Gustavo Henrique Ferreira de Miranda Oliveira', 'Jário José dos Santos Júnior')","('Proteção ambiental', 'Sustentabilidade', 'Tecnologia', 'Desenvolvimento econômico', 'TI verde')","Universidade Federal de Alagoas","Ciência da Computação","https://ud10.arapiraca.ufal.br/web/content?model=ud.biblioteca.anexo&field=arquivo&id=12357&download=true&filename_field=name","117","Sustentabilidade e TI verde: interações entre crescimento econômico e responsabilidade ambiental nas empresas.","","U.E. Penedo"
"('Elmo Araújo Filho',)","2024","2024-10-24","Sistemas de Informação","Trabalho de Conclusão de Curso","As previsões meteorológicas têm impactos significativos em áreas como agricultura e planejamento de situações de emergência, ao ajudar nas tomadas de decisão estratégicas. Neste estudo específico, discute-se o desafio de aumentar a precisão das previsões climáticas de séries temporais na região de Penedo, em Alagoas, que possui características climáticas distintas. O objetivo principal é criar um sistema combinado que utiliza tanto modelos lineares quanto não lineares para melhorar a exatidão das previsões meteorológicas. O método incluiu dividir as séries temporais usando uma janela de tempo deslizante e aplicar um sistema híbrido que combina Regressão Linear para identificar padrões lineares com um modelo de Árvore de Decisão para padrões não lineares. Esse sistema híbrido foi testado em nove conjuntos de dados climáticos, demonstrando superioridade sobre modelos individuais em seis dessas análises. Assim sendo possível afirmar que essa abordagem híbrida oferece previsões climáticas mais precisas para esta região.","Meteorological forecasts have significant impacts in areas such as agriculture and emergency planning, helping in strategic decision-making. This specific study discusses the challenge of increasing the accuracy of climatic time series forecasts in the region of Penedo, Alagoas, which has distinct climatic characteristics. The main objective is to create a combined system that uses both linear and nonlinear models to improve the accuracy of meteorological forecasts. The method included dividing the time series using a sliding window and applying a hybrid system that combines Linear Regression to identify linear patterns with a Decision Tree model for nonlinear patterns. This hybrid system was tested on nine climatic datasets, demonstrating superiority over individual models in six of these analyses. Therefore, it is possible to state that this hybrid approach provided more accurate climatic forecasts for this region.","('Gustavo Henrique Ferreira de Miranda Oliveira',)","('Jário José dos Santos Júnior', 'Marianne Batista Diniz da Silva')","('Tecnologia da informação', 'Séries temporais', 'Penedo (AL)', 'Previsão meteorológica')","Universidade Federal de Alagoas","Ciência da Computação","https://ud10.arapiraca.ufal.br/web/content?model=ud.biblioteca.anexo&field=arquivo&id=11929&download=true&filename_field=name","195","Sistema híbrido para previsão de séries temporais meteorológicas em Penedo– Alagoas.","","U.E. Penedo"
